sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,weight,status,visibility,tax_class_id,qty,is_in_stock,image,small_image,thumbnail
24-MB01,,Default,simple,,Default Category,base,Joust Duffle Bag,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main""><p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul></div>",Joust Duffle Bag,34.0,1.0,1,4,2,100.0,1.0,/c/o/computer-test.jpg,/c/o/computer-test.jpg,/c/o/computer-test.jpg
24-MB04,,Default,simple,,Default Category,base,Strive Shoulder Pack,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",Strive Shoulder Pack,32.0,1.0,1,4,2,100.0,1.0,/m/b/mb04-black-0.jpg,/m/b/mb04-black-0.jpg,/m/b/mb04-black-0.jpg
24-MB03,,Default,simple,,Default Category,base,Crown Summit Backpack,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>",Crown Summit Backpack,38.0,1.0,1,4,2,100.0,1.0,/m/b/mb03-black-0.jpg,/m/b/mb03-black-0.jpg,/m/b/mb03-black-0.jpg
24-MB05,,Default,simple,,Default Category,base,Wayfarer Messenger Bag,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",Wayfarer Messenger Bag,45.0,1.0,1,4,2,100.0,1.0,/m/b/mb05-black-0.jpg,/m/b/mb05-black-0.jpg,/m/b/mb05-black-0.jpg
24-MB06,,Default,simple,,Default Category,base,Rival Field Messenger,"<p>The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.</p>
<ul>
<li>Leather construction.</li>
<li>Adjustable fabric carry strap.</li>
<li>Dimensions: 18"" x 10"" x 4"".</li>
</ul>",Rival Field Messenger,45.0,1.0,1,4,2,100.0,1.0,/m/b/mb06-gray-0.jpg,/m/b/mb06-gray-0.jpg,/m/b/mb06-gray-0.jpg
24-MB02,,Default,simple,,Default Category,base,Fusion Backpack,"<p>With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.</p>
<ul>
<li>Durable nylon construction.</li>
<li>2 main zippered compartments.</li>
<li>1 exterior zippered pocket.</li>
<li>Mesh side pouches.</li>
<li>Padded, adjustable straps.</li>
<li>Top carry handle.</li>
<li>Dimensions: 18"" x 10"" x 6"".</li>
</ul>",Fusion Backpack,59.0,1.0,1,4,2,100.0,1.0,/m/b/mb02-gray-0.jpg,/m/b/mb02-gray-0.jpg,/m/b/mb02-gray-0.jpg
24-UB02,,Default,simple,,Default Category,base,Impulse Duffle,"<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p>
<ul>
<li>Wheeled.</li>
<li>Dual carry handles.</li>
<li>Retractable top handle.</li>
<li>W 14"" x H 26"" x D 11"".</li>
</ul>",Impulse Duffle,74.0,1.0,1,4,2,100.0,1.0,/u/b/ub02-black-0.jpg,/u/b/ub02-black-0.jpg,/u/b/ub02-black-0.jpg
24-WB01,,Default,simple,,Default Category,base,Voyage Yoga Bag,"<p>Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.</p>
<ul>
<li>Slip pocket on front.</li>
<li>Contrast piping.</li>
<li>Durable nylon construction.</li>
</ul>",Voyage Yoga Bag,32.0,1.0,1,4,2,100.0,1.0,/w/b/wb01-black-0.jpg,/w/b/wb01-black-0.jpg,/w/b/wb01-black-0.jpg
24-WB02,,Default,simple,,Default Category,base,Compete Track Tote,"<p>The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.<p>
<ul>
<li>Two-way zippers.</li>
<li>Contrast detailing.</li>
<li>W 22.0"" x H 17"" x D 10"".</li>
</ul>",Compete Track Tote,32.0,1.0,1,4,2,100.0,1.0,/w/b/wb02-green-0.jpg,/w/b/wb02-green-0.jpg,/w/b/wb02-green-0.jpg
24-WB05,,Default,simple,,Default Category,base,Savvy Shoulder Tote,"<p>Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.</p>
<ul>
<li>Water-resistant shell.</li>
<li>Water bottle pocket.</li>
<li>Padded, articulating shoulder strap.</li>
<li>Dimensions: W 21"" x H 15"" x D 10"".</li>
</ul>",Savvy Shoulder Tote,32.0,1.0,1,4,2,100.0,1.0,/w/b/wb05-red-0.jpg,/w/b/wb05-red-0.jpg,/w/b/wb05-red-0.jpg
24-WB06,,Default,simple,,Default Category,base,Endeavor Daytrip Backpack,"<p>With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.</p>
<ul>
<li>Foam-padded adjustable shoulder straps.</li>
<li>900D polyester.</li>
<li>Oversized zippers.</li>
<li>Locker loop.</li>
</ul>",Endeavor Daytrip Backpack,33.0,1.0,1,4,2,100.0,1.0,/w/b/wb06-red-0.jpg,/w/b/wb06-red-0.jpg,/w/b/wb06-red-0.jpg
24-WB03,,Default,simple,,Default Category,base,Driven Backpack,"<p>School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.</p>
<ul>
<li>Large main and small zip compartments.</li>
<li>Adjustable, padded straps.</li>
<li>Interior foam pockets.</li>
<li>Exterior zip compartment.</li>
<li>Left sport bottle pocket.</li>
<li>Survival gear sold separately.</li>
</ul>",Driven Backpack,36.0,1.0,1,4,2,100.0,1.0,/w/b/wb03-purple-0.jpg,/w/b/wb03-purple-0.jpg,/w/b/wb03-purple-0.jpg
